execution_date,PO_ID,PO_NUM,TP_Name,CUSTOMER_NUM,CUSTOMER_NAME,ORDER_ENTRY_DATE,REQ_RECEIPT_DATE,PO,WSO,POA,POC,INV,WSA,ASN,Num_Complete,Num_Required,done_date
2020-07-18 00:00:00.000,11957,001130623481,Coscto,C00197376,COSTCO SALT LAKE CITY,2020-06-26 00:00:00.000,06-29-2020,06-26-2020,06-29-2020,NA,Open,07-01-2020,NA,NA,3,3,07-01-2020
2020-05-31 00:00:00.000,6039,001150504196,Coscto,C00140095,COSTCO LYNNWOOD BUS CTR,2020-05-05 00:00:00.000,05-10-2020,05-05-2020,NA,NA,Open,05-09-2020,NA,NA,2,3,
2020-07-18 00:00:00.000,11477,001150616228,Coscto,C00140095,COSTCO LYNNWOOD BUS CTR,2020-06-19 00:00:00.000,06-22-2020,06-19-2020,NA,NA,Open,Open,NA,NA,1,3,
2020-07-18 00:00:00.000,13442,001150702165,Coscto,C00140095,COSTCO LYNNWOOD BUS CTR,2020-07-07 00:00:00.000,07-08-2020,07-07-2020,NA,NA,Open,07-14-2020,NA,NA,2,3,
2020-04-19 00:00:00.000,4327,005630320158,Coscto,C00146530,COSTCO LAS VEGAS BUS CTR,2020-03-23 00:00:00.000,03-26-2020,03-23-2020,03-23-2020,NA,Open,03-26-2020,NA,NA,3,3,03-26-2020
2020-07-08 00:00:00.000,9821,005630608171,Coscto,C00146530,COSTCO LAS VEGAS BUS CTR,2020-06-08 00:00:00.000,06-14-2020,06-08-2020,06-09-2020,NA,Open,06-12-2020,NA,NA,3,3,06-12-2020
2020-05-13 00:00:00.000,4789,005640413161,Coscto,C00147025,COSTCO HAWTHORNE BUS CTR,2020-04-14 00:00:00.000,04-19-2020,04-14-2020,04-14-2020,NA,Open,04-16-2020,NA,NA,3,3,04-16-2020
2020-04-15 00:00:00.000,4201,005690316138,Coscto,C00149070,COSTCO COMMERCE BUS CTR,2020-03-16 00:00:00.000,03-22-2020,03-16-2020,03-16-2020,NA,Open,03-19-2020,NA,NA,3,3,03-19-2020
2020-04-05 00:00:00.000,3790,005780306156,Coscto,C00156406,COSTCO SAN DIEGO BUS CTR,2020-03-09 00:00:00.000,03-12-2020,03-09-2020,NA,NA,Open,03-14-2020,NA,NA,2,3,
2020-05-27 00:00:00.000,5177,005790427183,Coscto,C00177824,COSTCO MORROW BUS CTR,2020-04-28 00:00:00.000,05-03-2020,04-28-2020,NA,NA,Open,05-01-2020,NA,NA,2,3,
2020-07-02 00:00:00.000,9033,005790602137,Coscto,C00177824,COSTCO MORROW BUS CTR,2020-06-03 00:00:00.000,06-08-2020,06-03-2020,NA,NA,Open,06-06-2020,NA,NA,2,3,
2020-07-18 00:00:00.000,13963,005790629163,Coscto,C00177824,COSTCO MORROW BUS CTR,2020-07-07 00:00:00.000,07-05-2020,07-07-2020,NA,NA,Open,07-10-2020,NA,NA,2,3,
2020-04-23 00:00:00.000,4380,005800324137,Coscto,C00195321,COSTCO BEDFORD PARK BUS CTR,2020-03-25 00:00:00.000,03-30-2020,03-25-2020,NA,NA,Open,03-28-2020,NA,NA,2,3,
2020-04-23 00:00:00.000,4381,006500324163,Coscto,C00199687,COSTCO DENVER BUS CTR,2020-03-25 00:00:00.000,03-30-2020,03-25-2020,NA,NA,Open,03-30-2020,NA,NA,2,3,
2020-07-18 00:00:00.000,11479,006500616171,Coscto,C00199687,COSTCO DENVER BUS CTR,2020-06-19 00:00:00.000,06-22-2020,06-19-2020,NA,NA,Open,Open,NA,NA,1,3,
2020-04-18 00:00:00.000,4300,006510319159,Coscto,C00200782,COSTCO ORLANDO BUS CTR,2020-03-20 00:00:00.000,03-25-2020,03-20-2020,NA,NA,Open,03-25-2020,NA,NA,2,3,
2020-04-11 00:00:00.000,3947,006520312135,Coscto,C00250083,COSTCO MINNEAPOLIS BUS CTR,2020-03-12 00:00:00.000,03-18-2020,03-12-2020,NA,NA,Open,03-18-2020,NA,NA,2,3,
